Gender,Married,Dependents,Education,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term,Credit_History,Property_Area,Age,Loan_Status,Credit_Score,Self_Employed
0.0,1.0,3,1.0,34473.9116692332,13914.7215743515,240732.458366153,180,1,1,40,1,752,0.0
0.0,1.0,1,1.0,59718.0206818665,18720.8147866738,122547.278442056,180,1,1,47,1,829,1.0
0.0,1.0,1,0.0,106981.515734015,2229.15437668881,140550.937774368,60,1,0,24,1,742,0.0
1.0,1.0,2,1.0,43205.5631563844,35578.1117709776,146135.738126685,120,1,1,39,1,664,0.0
0.0,1.0,0,1.0,62526.283989664,20212.1579118872,203408.051743799,180,1,1,41,1,756,0.0
1.0,1.0,0,1.0,55193.4920368373,9840.9468686766,26978.2088951897,240,1,0,39,1,721,0.0
0.0,1.0,3,1.0,71362.0641025729,4873.14436631507,64638.7002714723,120,1,2,36,1,838,1.0
0.0,0.0,0,1.0,92086.7821661719,31781.7992212487,81487.1705396057,120,0,1,30,0,320,0.0
1.0,0.0,2,0.0,52700.9454091422,3658.28854722209,118807.987565636,180,1,2,35,1,752,1.0
0.0,0.0,2,1.0,48012.1470911195,615.888332054408,268723.314164199,240,1,1,29,0,771,
1.0,0.0,1,0.0,60694.2749750512,16573.4656767307,100456.962299164,240,0,2,51,0,514,0.0
0.0,1.0,0,0.0,47583.0480349776,10427.814606808,77767.9373465792,60,1,1,51,1,724,0.0
0.0,1.0,0,1.0,55386.7666672058,23695.7251865342,167720.328373716,180,1,1,23,1,737,0.0
1.0,0.0,1,1.0,60402.1293373819,6998.24701335896,119701.850802624,240,0,2,34,0,399,0.0
,1.0,1,1.0,52503.583849008,5746.07742357043,142991.103508732,60,1,0,31,1,753,
0.0,1.0,2,1.0,45150.588286039,23157.5448665206,141854.390331188,180,1,2,37,1,801,1.0
1.0,1.0,1,1.0,31038.3131700535,10677.0482089267,160392.661906882,240,1,2,34,1,780,
0.0,1.0,0,1.0,101364.520830116,16814.6106348063,120417.709232877,300,0,2,28,0,449,0.0
,0.0,0,1.0,106493.466117056,14669.3199863823,,300,1,2,26,1,702,1.0
1.0,0.0,0,0.0,81506.8680391379,9418.66740342549,150560.407659794,180,1,1,36,1,651,0.0
1.0,0.0,0,1.0,77529.1129100587,22020.3032366732,185813.124823426,120,0,1,38,0,643,0.0
0.0,1.0,1,1.0,90674.5541983299,18516.6235497405,209806.685854555,240,0,2,32,0,593,0.0
1.0,1.0,2,1.0,44244.3249618352,12253.562506337,20000.0,240,1,1,42,1,779,1.0
1.0,0.0,0,1.0,23587.9339890296,20336.9524800619,165581.714940371,300,1,0,33,1,841,1.0
0.0,1.0,2,1.0,77753.1085174767,12349.3500311142,150632.723207432,180,0,0,21,0,576,0.0
0.0,1.0,0,1.0,92311.6564709646,12612.4739793656,105969.677010917,180,1,0,50,1,810,1.0
1.0,1.0,1,1.0,49380.0608999636,5064.06996068552,93995.7433737232,120,1,1,24,1,707,0.0
1.0,1.0,2,1.0,67262.3125548904,20011.2927606457,210933.260539446,120,0,2,39,0,321,0.0
1.0,1.0,2,1.0,57109.6265856896,9963.49739624403,139458.264067271,180,1,0,39,1,738,0.0
1.0,0.0,1,1.0,49293.4362809215,27991.4982054766,134201.802432365,360,0,1,36,0,348,1.0
1.0,1.0,2,1.0,94962.7413824167,24177.721505515,203779.745409916,300,1,0,36,1,708,0.0
0.0,1.0,3,1.0,34419.3852756042,28006.2540105595,242940.131779025,180,1,1,44,1,819,0.0
1.0,0.0,1,0.0,51310.0754513536,6360.20150923921,101982.347392894,180,1,1,32,1,837,0.0
1.0,1.0,2,1.0,43477.7601657091,1630.22041859445,194931.393336524,180,1,0,34,1,664,0.0
1.0,0.0,1,1.0,95106.816848864,6781.85171578654,72962.1095842318,300,0,2,36,0,489,0.0
1.0,0.0,2,0.0,65580.4305154067,2140.00293483506,167651.96242075,300,1,0,33,1,839,0.0
0.0,0.0,2,1.0,46485.8384167677,9678.56109826898,80849.1095627763,60,1,2,37,1,824,0.0
